"productkey","englishproductname","modelname","englishproductcategoryname","englishproductsubcategoryname"
210,"HL Road Frame - Black, 58","HL Road Frame","Components","Road Frames"
211,"HL Road Frame - Red, 58","HL Road Frame","Components","Road Frames"
212,"Sport-100 Helmet, Red","Sport-100","Accessories","Helmets"
213,"Sport-100 Helmet, Red","Sport-100","Accessories","Helmets"
214,"Sport-100 Helmet, Red","Sport-100","Accessories","Helmets"
215,"Sport-100 Helmet, Black","Sport-100","Accessories","Helmets"
216,"Sport-100 Helmet, Black","Sport-100","Accessories","Helmets"
217,"Sport-100 Helmet, Black","Sport-100","Accessories","Helmets"
218,"Mountain Bike Socks, M","Mountain Bike Socks","Clothing","Socks"
219,"Mountain Bike Socks, L","Mountain Bike Socks","Clothing","Socks"
220,"Sport-100 Helmet, Blue","Sport-100","Accessories","Helmets"
221,"Sport-100 Helmet, Blue","Sport-100","Accessories","Helmets"
222,"Sport-100 Helmet, Blue","Sport-100","Accessories","Helmets"
223,"AWC Logo Cap","Cycling Cap","Clothing","Caps"
224,"AWC Logo Cap","Cycling Cap","Clothing","Caps"
225,"AWC Logo Cap","Cycling Cap","Clothing","Caps"
226,"Long-Sleeve Logo Jersey, S","Long-Sleeve Logo Jersey","Clothing","Jerseys"
227,"Long-Sleeve Logo Jersey, S","Long-Sleeve Logo Jersey","Clothing","Jerseys"
228,"Long-Sleeve Logo Jersey, S","Long-Sleeve Logo Jersey","Clothing","Jerseys"
229,"Long-Sleeve Logo Jersey, M","Long-Sleeve Logo Jersey","Clothing","Jerseys"
230,"Long-Sleeve Logo Jersey, M","Long-Sleeve Logo Jersey","Clothing","Jerseys"
231,"Long-Sleeve Logo Jersey, M","Long-Sleeve Logo Jersey","Clothing","Jerseys"
232,"Long-Sleeve Logo Jersey, L","Long-Sleeve Logo Jersey","Clothing","Jerseys"
233,"Long-Sleeve Logo Jersey, L","Long-Sleeve Logo Jersey","Clothing","Jerseys"
234,"Long-Sleeve Logo Jersey, L","Long-Sleeve Logo Jersey","Clothing","Jerseys"
235,"Long-Sleeve Logo Jersey, XL","Long-Sleeve Logo Jersey","Clothing","Jerseys"
236,"Long-Sleeve Logo Jersey, XL","Long-Sleeve Logo Jersey","Clothing","Jerseys"
237,"Long-Sleeve Logo Jersey, XL","Long-Sleeve Logo Jersey","Clothing","Jerseys"
238,"HL Road Frame - Red, 62","HL Road Frame","Components","Road Frames"
239,"HL Road Frame - Red, 62","HL Road Frame","Components","Road Frames"
240,"HL Road Frame - Red, 62","HL Road Frame","Components","Road Frames"
241,"HL Road Frame - Red, 44","HL Road Frame","Components","Road Frames"
242,"HL Road Frame - Red, 44","HL Road Frame","Components","Road Frames"
243,"HL Road Frame - Red, 44","HL Road Frame","Components","Road Frames"
244,"HL Road Frame - Red, 48","HL Road Frame","Components","Road Frames"
245,"HL Road Frame - Red, 48","HL Road Frame","Components","Road Frames"
246,"HL Road Frame - Red, 48","HL Road Frame","Components","Road Frames"
